Title	URL	Assignees	Status	Milestone
Scheduling of a separate SD meeting	https://github.com/amosproj/amos2024ws04-personalized-play/issues/14		In Progress	Sprint 1 milestone
Participation of SD in meeting with the IP	https://github.com/amosproj/amos2024ws04-personalized-play/issues/15		In Progress	Sprint 1 milestone
