Title	URL	Assignees	Status
Scheduling of a separate SD meeting	https://github.com/amosproj/amos2024ws04-personalized-play/issues/14		Done
Participation of SD in meeting with the IP	https://github.com/amosproj/amos2024ws04-personalized-play/issues/15		In Progress
Record unforeseen technical issues or problems in the Discord dev channel	https://github.com/amosproj/amos2024ws04-personalized-play/issues/25	AnnaH3003	In Progress
Help each other via communication in discord	https://github.com/amosproj/amos2024ws04-personalized-play/issues/26	AnnaH3003	In Progress
Inform other SD via discord when a task is finished	https://github.com/amosproj/amos2024ws04-personalized-play/issues/37	AnnaH3003	In Progress
Set up an additional meeting to gather SD's feedback on sprint planning	https://github.com/amosproj/amos2024ws04-personalized-play/issues/38	AnnaH3003	In Progress
