Title	URL	Sprint	Estimated	Real	Linked pull requests
Add dropdown to select type of chore	https://github.com/amosproj/amos2024ws04-personalized-play/issues/78				
Save the user data in the Firebase database	https://github.com/amosproj/amos2024ws04-personalized-play/issues/77	Sprint-6			
FEAT: Base App navigation and User Auth with custom Formik form component	https://github.com/amosproj/amos2024ws04-personalized-play/pull/31	Sprint-5			
FIX: Rendering of default README and CI documentation	https://github.com/amosproj/amos2024ws04-personalized-play/pull/12	Sprint-1			
FEAT: SignUp page	https://github.com/amosproj/amos2024ws04-personalized-play/pull/32	Sprint-3			
FEAT: Setting up Development Environment	https://github.com/amosproj/amos2024ws04-personalized-play/pull/13	Sprint-1			
FEAT: Add Welcome Screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/39	Sprint-5	⏰ Est. 3	🕒 RL. 2	
FEAT: Number Of Kids Question and Onboarding Screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/40	Sprint-5			
FEAT: Energy Level Page	https://github.com/amosproj/amos2024ws04-personalized-play/pull/44	Sprint-5			
FEAT: Add playtime onboarding question	https://github.com/amosproj/amos2024ws04-personalized-play/pull/48	Sprint-5			
Feat/app auth flow user age	https://github.com/amosproj/amos2024ws04-personalized-play/pull/49	Sprint-5			
FIX: Add missing dependency for slider	https://github.com/amosproj/amos2024ws04-personalized-play/pull/50	Sprint-5			
FIX: The next button in the onboarding screen is now disabled if the current question is not answered	https://github.com/amosproj/amos2024ws04-personalized-play/pull/51	Sprint-5			
FIX(energylevel): Adjust image container && Question font && margin	https://github.com/amosproj/amos2024ws04-personalized-play/pull/71				
CHORE: update expo and related dependencies to latest versions	https://github.com/amosproj/amos2024ws04-personalized-play/pull/72				
FEAT: Loading screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/73				
CI: Add Google services config and firebase config to EAS workflow	https://github.com/amosproj/amos2024ws04-personalized-play/pull/75				
Feat: Implement custom font loading and enhance loading screen	https://github.com/amosproj/amos2024ws04-personalized-play/pull/76				
FEAT: Code refactoring + UI improvement	https://github.com/amosproj/amos2024ws04-personalized-play/pull/82				
Feat/refactor code activity choice	https://github.com/amosproj/amos2024ws04-personalized-play/pull/83				
feat(energylevel): Formik && edit Slider && add labels	https://github.com/amosproj/amos2024ws04-personalized-play/pull/84				
FEAT: Playtime Question Redesign and Add Formik	https://github.com/amosproj/amos2024ws04-personalized-play/pull/86				
